,KD1,KD2,KD3,LS1,LS2,LS3
PC(16:0_16:0),1852545,1751583,2759832,805270,1156639,1626478
PC(16:0_16:1),1409655,1039413,1343642,610745,689343,1103948
PC(16:0_18:1),33164462,24930941,28869520,9955356,12539311,19520661
PC(16:0_18:2),56780736,52007798,50219498,28050038,26907680,35606814
PC(16:1_18:2),324147,265410,287508,222091,193247,245149
PC(14:0_20:4),46605,34355,37277,10995,10869,17974
PC(18:0_18:1),8191626,5638252,7107126,644099,802064,1301272
PC(18:1_18:1),53387579,42046625,44374215,7970999,7715740,12588516
PC(18:1_18:2),11788068,9209414,9895057,2508708,2430748,3248291
PC(18:2_18:2),43866401,39633269,39599727,17275998,20243408,29398846
PC(18:2_18:3)A,37950,36038,40283,63123,81244,119118
PC(18:3_18:3),18887,14099,12288,7459,6359,7751
PC 37:4,312570,333807,307258,93865,93956,134587
PC 37:5,131395,91505,126957,42862,53130,46750
PC 37:6,43844,30894,30899,11842,10194,11682
PC(18:0_20:3),3711617,2697044,3260624,495929,461508,749236
PC(18:1_20:3),24810717,26518721,24981666,6224200,6616844,11634180
PC(18:1_20:4),1696603,2001445,1680110,2463005,2883102,4601570
PC(18:2_20:4),22966074,17669025,17359218,10278098,9896135,12955574
PC(16:1_22:6),40276,24187,38719,48606,41155,50954
PC(18:0_22:5)A,216188,177690,181186,106644,119317,188616
PC(18:0_22:6),5519596,4775492,4930258,1301532,1278672,2016922
PC(18:2_22:5),2232764,1899599,1922109,2531977,2535773,3654558
PC(20:4_20:4),59941,50672,43556,48079,52508,48934
PC 42:8,19572,9806,14924,22153,19721,28276
PC(14:0_16:0),683885,515964,790621,83442,93176,183404
PC 30:1,18227,12574,15509,1779,2952,3937
PC 38:1,50292,34636,42851,13604,16440,18745
PC(20:0_18:2),268305,181879,224189,94076,108633,153373
PC(14:0_14:0),15851,12584,11962,910,427,1221
PC 31:1,11758,10207,12805,1420,2239,2398
PC 31:0,206978,183638,265602,30843,35173,57661
PC(14:0_18:2),133096,87482,86404,40804,37684,49365
PC(16:0_18:3)a,488262,369662,420489,131636,138168,133680
PC(16:0_18:3)b,461307,341066,382629,320066,272853,344445
PC(16:0_20:3),16221240,12552631,14220093,3500456,3015044,4642945
PC(16:0_20:4),55259752,51564695,53382647,22870277,26392692,37530184
PC(18:2_18:3)B,592069,475129,516194,202492,164447,242360
PC(16:0_22:4),1204525,833632,1256248,535217,430851,734206
PC(18:0_20:4),32793915,34582797,33888455,8603159,9307087,15927820
PC(16:0_22:5),2401435,2312736,1773825,3495709,4047464,6429812
PC(16:0_22:5)B,1391864,2871222,1164902,329988,423684,634326
PC(16:0_22:6),29972799,23614812,24006724,14108481,13577010,17421536
PC(18:1_20:5),1111145,1008243,992988,275204,330036,447459
PC(18:0_22:5)B,286016,229755,236359,46442,76716,111281
PC 42:10,64467,61334,62663,26305,31895,40318
PC(p-32:1) / PC(o-32:2),23727,17366,20328,9363,8519,10207
PC(p-34:0) / PC(o-34:1),155430,114887,127284,68717,83877,94299
PC(p-34:1) / PC(o-34:2),140485,93439,97454,33581,39053,49128
PC(p-34:2) / PC(o-34:3),44878,28690,29459,9396,12718,15611
PC(p-36:1) / PC(o-36:2)A,50582,31769,36411,15959,23813,22326
PC(p-36:4) / PC(o-36:5),319203,208215,229427,115998,126529,142682
PC(p-36:5) / PC(o-36:6),30037,21585,10714,5403,6362,7823
PC(p-38:3) / PC(o-38:4)A,78225,54265,62180,15281,25261,20002
PC(p-38:3) / PC(o-38:4)B,150529,133189,128995,47328,55313,65874
PC(p-38:4) / PC(o-38:5)A,361936,243179,292054,134877,166365,186408
PC(p-38:4) / PC(o-38:5)B,44164,35363,28622,63306,43012,54725
PC(p-38:5) / PC(o-38:6)A,361501,269445,292137,156944,137582,181785
PC(p-38:6) / PC(o-38:7),117799,93888,90327,67318,62728,79030
PC(p-40:3) / PC(o-40:4),45339,44121,40103,18017,22524,24340
PC(p-40:5) / PC(o-40:6),162975,124420,136013,55425,47026,55212
PC(p-40:6) / PC(o-40:7)A,133785,92434,95454,88949,77808,101067
PC(p-40:6) / PC(o-40:7)B,78373,72318,66473,37455,32032,36545
PC(p-42:5) / PC(o-42:6)A,58997,39689,42904,24125,22257,21490
15:0-18:1(d7)PC,6928181,7211470,6079563,7196879,7409560,6253392
